"(-1, -6, -9, -3, -2, -3, -2, -1)",49
"(-1, -15, -10, -4, -1, -2, -2, -6)",49
"(-1, 15, 3, -1, -2, -4, -5, -5)",49
"(-5, -2, 16, 3, 0, 3, 3, 6)",49
"(3, 18, -12, -1, 2, 1, 1, 2)",49
"(3, -9, 0, 1, 0, 1, 2, 7)",49
"(-2, -1, 2, -3, -3, -1, 1, -2)",49
"(0, -11, -16, -3, -1, -2, 1, -1)",49
"(-2, -4, 4, 1, 1, -1, 1, -1)",49
"(1, 13, 1, -3, -3, -3, -4, -5)",49
"(-5, -8, -3, -3, 0, -2, -4, 1)",49
"(2, -2, 0, 1, 0, 1, -2, -4)",49
"(-6, 2, 1, 1, -3, 0, 1, 2)",49
"(0, 9, 4, 0, 1, 1, -1, -2)",49
"(0, -9, 5, 2, 1, -1, 0, 0)",49
"(2, 9, -13, -5, -6, -2, -2, -1)",49
"(-2, -8, 3, 0, -3, -7, -9, -12)",49
"(-5, -10, -4, 0, -2, -5, -5, -4)",49
"(8, 29, 16, 4, 5, 8, 17, 16)",49
"(-1, -18, -12, -6, -5, -2, 3, 2)",49
"(-5, -9, -5, -6, -2, -1, 4, -2)",49
"(-4, -8, -6, 5, 4, 3, 0, 2)",49
"(-6, -10, -9, -3, -2, -2, -6, -10)",49
"(0, 4, 2, -2, -4, -14, -4, 1)",49
"(0, 9, 13, -1, -1, 14, 0, -1)",49
"(1, -4, -12, -5, -2, -1, 0, 3)",49
"(1, -2, -2, 3, 1, -1, 1, -4)",49
"(-3, 3, 3, -1, -2, -5, -10, -10)",49
"(-4, 1, 10, 0, -9, -19, -36, -27)",49
"(8, 14, 3, 0, 7, -44, -59, 4)",49
"(5, -13, -15, -3, -11, 19, 69, 20)",49
"(-2, -5, -1, 1, -1, -17, 29, 26)",49
"(-10, 10, 14, 8, 6, 51, 33, -10)",49
"(-15, -17, -20, -10, 4, 21, -4, -20)",49
"(4, 0, 1, -2, 7, -14, -19, 18)",49
"(-11, 7, -4, -1, 2, 8, -13, -17)",49
"(-1, -1, -2, -11, -18, -36, -13, -1)",49
"(3, -2, 2, 2, 3, -1, -2, 1)",49
"(-5, -6, -3, -3, -3, -19, -23, -18)",49
"(1, -4, -10, -3, -3, -15, -14, -9)",49
"(5, 0, -5, 0, 6, 25, -13, -3)",49
"(5, 7, -13, -7, -13, -30, -38, -18)",49
"(0, -10, -2, -11, -13, -70, -42, 10)",49
"(4, 23, 19, 22, 34, 98, 101, 61)",49
"(-14, 1, 2, -3, 2, 26, 0, -29)",49
"(-3, -1, 12, -10, -47, -44, 36, -13)",49
"(-8, -3, 7, 29, 86, 79, -78, -26)",49
"(-21, -27, -25, -35, -51, -128, -128, -81)",49
"(47, 19, 6, 41, 46, 79, 97, 118)",49
"(-31, -2, 1, -47, -23, 104, 103, -46)",49
"(12, 1, 2, -7, -50, -106, -82, 21)",49
"(0, 15, 25, 31, 74, 64, -28, -22)",49
"(2, -35, -31, -9, 14, 28, 19, 85)",49
"(5, 32, 29, 48, 53, -6, 109, 14)",49
"(-28, -31, -34, -32, -5, -32, -50, -42)",49
"(25, 21, 13, -6, -36, 71, 107, 19)",49
"(2, -9, -9, -30, -58, -128, -78, -31)",49
