-9,-4,-15,-24,-23,-11,30,-4
31,33,-4,1,6,-5,9,9
-8,-25,-1,-1,-1,16,28,1
3,4,3,0,3,1,-14,2
5,6,17,15,13,3,-10,-4
-17,-15,-9,-7,-11,-9,-18,-1
-5,1,-6,-8,-6,-6,2,2
0,-3,5,2,7,4,11,1
-14,-13,-6,3,-2,-3,-9,-4
5,12,3,1,2,3,5,1
5,32,8,1,1,-3,-5,6
4,-57,-4,1,0,4,6,13
5,21,3,-7,-11,-7,-1,-5
-18,12,-9,-11,-5,-5,-6,-10
10,5,6,-3,0,1,1,2
-4,2,0,2,8,5,2,-1
3,-48,-2,3,5,-1,-7,0
15,9,1,-2,-8,-4,2,-1
-16,-35,-8,0,3,2,-3,-1
7,17,-4,-6,-7,-1,2,0
-1,40,15,0,-3,-4,-5,-1
14,-10,-12,-6,-4,-3,-1,-5
1,-47,-20,-2,0,2,-1,-1
-11,27,-4,-6,-3,-3,-2,-7
8,15,15,18,6,2,0,1
0,9,1,-3,-2,-4,-2,-4
-28,-19,0,4,1,0,-3,-5
20,-6,-6,-11,2,0,-1,-1
-4,10,7,21,-1,-2,-4,-3
9,3,-22,-18,-8,-3,-3,0
12,25,24,19,7,3,4,-1
-19,-16,4,0,1,3,5,8
15,-14,-10,-11,-2,-2,-4,6
-26,5,-2,4,0,-1,-1,-3
21,9,-3,-12,-4,-4,-3,-4
8,3,2,15,3,0,-1,4
-21,-1,17,-5,2,2,1,-1
24,23,-4,6,3,2,2,6
-11,6,-4,-9,-4,0,-3,0
-4,-11,1,5,-1,0,-1,-11
15,-4,-13,-11,-2,-1,-1,-2
-16,-16,6,3,0,-2,-1,-2
-6,21,-5,-7,-6,-2,-1,0
26,-44,-7,10,-2,-2,-3,-5
-5,0,-8,-5,-1,-2,-1,0
-13,-16,1,-3,-3,0,3,6
5,16,3,12,1,-1,-1,-3
-23,-7,0,-4,-1,0,-2,-5
12,9,-5,-4,-1,-3,-5,-5
-1,-13,1,7,3,2,2,0
-7,-3,2,-1,-1,1,0,1
2,15,12,-4,-5,-1,-1,-3
14,6,-4,4,4,0,-2,-4
-18,-2,11,-3,-3,-3,-3,-5
-24,-30,-18,-12,-3,-2,-2,-4
11,12,-1,-6,-2,-1,-2,-4
-12,2,0,0,1,1,2,5
13,-13,3,1,-4,-3,-4,-1
8,5,7,2,-1,-1,1,0
-1,12,-7,-3,-4,-3,-3,-4
-10,19,26,7,3,3,4,11
-6,-52,-32,-9,0,4,2,4
30,19,-3,-4,-1,-2,-4,-3
-15,7,6,2,0,-2,-3,-2
-11,-3,-5,1,1,0,-4,-7
-7,7,10,2,-2,-4,-7,-12
8,-6,-9,-3,-1,1,3,8
-13,3,7,3,3,3,2,10
11,2,-4,-10,-6,-1,0,3
-43,-7,5,12,4,4,2,-3
-13,-27,-16,-3,-1,-9,-8,-11
-2,13,10,-4,-3,-5,-2,0
-19,-8,-16,3,1,1,-3,-11
31,13,-6,-4,-2,1,3,6
1,9,19,-3,0,6,6,7
-35,-5,2,7,2,0,0,-3
6,1,-10,-9,-4,-6,-3,-5
7,-9,-14,0,0,-3,-3,0
-16,-7,-4,-9,-5,-2,-1,-5
33,6,7,17,6,2,3,10
1,17,24,5,-2,-4,-2,-3
-9,5,-13,-5,-2,-2,-3,-3
-12,-29,0,4,2,0,-3,-5
-15,-2,-14,-10,-6,-3,-2,-4
-2,-1,-3,-4,-3,-1,-3,-3
11,7,8,-1,-1,-5,-5,-7
13,30,8,12,2,9,-1,6
-5,-23,8,-3,-7,-6,-4,-5
2,-8,-26,0,11,1,11,12
-21,-12,9,-7,-5,-10,-8,-6
17,26,6,12,2,-5,-14,4
3,-7,-17,-5,-1,4,9,-3
-2,-19,-8,-9,-4,12,7,8
-2,-1,3,0,1,2,14,3
-6,-4,5,-5,-8,-19,3,0
4,13,1,-1,0,-5,-15,-9
-6,-8,1,0,-3,-7,-10,-4
25,3,-12,-12,-3,5,-8,0
5,2,8,21,6,7,-1,-2
-4,20,18,9,1,-1,3,0
0,-26,-12,-6,-4,-5,-9,-8
-7,2,6,4,5,13,-2,10
4,1,-11,-11,0,-14,5,-2
-2,-5,-5,-9,-9,-5,-1,0
-6,2,-10,-3,-2,36,2,-4
-2,2,5,2,-1,-40,-8,3
3,-6,5,12,1,14,29,14
0,4,-6,-19,3,-1,-1,-7
1,2,9,4,0,-7,-7,-4
2,0,-2,-5,-4,7,-11,-13
-12,-2,-7,-5,0,4,-9,0
22,7,-10,-9,-4,-2,-2,-3
1,6,4,2,2,6,-11,-10
-2,-5,6,7,0,-1,-27,-9
-3,-6,-14,-14,-10,-7,27,6
-1,-10,-4,6,2,0,3,0
-12,3,4,-4,-8,-21,10,17
8,12,3,-1,1,19,-17,-9
-15,-10,-6,-11,-15,-35,-32,-21
2,-6,-4,4,7,-10,-12,21
20,12,7,3,3,2,85,1
-3,2,1,-3,-2,13,-1,7
11,-2,4,21,10,15,-10,-2
11,13,23,7,0,3,-5,-5
13,3,-1,-5,-1,-12,-35,-5
-16,-4,-5,-6,-4,-20,1,-2
-29,-19,-3,-10,0,12,7,-10
35,11,-10,5,0,17,-20,-9
-40,-11,-13,-18,-12,-50,-107,-31
32,20,35,43,18,33,49,18
4,6,2,-9,2,15,46,31
-14,-7,1,7,0,-7,23,18
-42,-17,-9,-1,5,27,64,12
-1,-2,-15,-14,-15,-21,-68,-43
0,4,4,-6,5,3,-70,-13
0,-11,-4,3,2,-7,-39,1
19,0,-2,-2,-8,19,-85,-26
0,-8,-15,-11,-13,-117,-9,20
13,32,22,19,19,84,120,40
23,4,1,-9,9,17,-39,-52
-25,-24,-24,-14,-29,-73,6,23
5,-1,-1,0,11,24,5,-23
0,-8,-11,-8,-15,-31,-29,7
-27,-11,-6,-6,-7,2,15,-9
20,10,4,-5,2,15,-43,-48
-7,-4,2,-4,-9,5,-1,33
-22,4,-1,0,-10,-10,3,-20
10,2,7,-1,-6,-25,-12,12
36,-5,-4,2,-8,35,19,-20
30,20,4,0,7,-8,-8,-35
11,-22,-29,-15,5,-53,-63,36
-6,16,13,3,-2,92,96,52
-19,0,4,-5,-36,-110,-81,-53
-44,-41,-23,3,63,50,120,-25
6,14,21,28,-9,46,59,55
-17,-6,-9,-15,1,53,-60,-19
0,-13,-10,-8,4,-21,24,77
-21,4,-4,-25,-47,21,-111,-68
15,-2,2,-9,-5,38,-30,-17
-13,-5,16,26,30,17,105,97
31,18,3,4,24,-6,-95,-46
-41,-21,-9,-8,-30,-51,82,-19
7,-7,-33,-27,21,-51,-30,39
-2,13,28,17,-7,52,17,-7
20,14,-16,12,30,-90,-36,-83
-32,-33,-8,13,32,15,109,3
15,-6,3,-1,-4,-38,27,-1
-18,-26,-12,-16,-16,-95,-128,-35
16,17,6,-3,-49,-41,58,82
-18,-11,-5,-7,11,57,-128,59
80,40,31,25,-19,58,85,1
-62,-30,-26,-32,-12,15,45,-49
-50,-9,8,12,8,89,10,-46
44,31,-3,-13,2,26,-8,80
12,-22,-11,0,-9,28,-71,18
36,31,19,15,-16,-21,13,29
3,11,-2,7,-20,-68,121,-44
-1,2,10,-21,-2,100,-65,-25
-30,0,2,19,51,35,40,25
-31,13,2,14,49,30,-116,34
-49,-5,16,-2,23,66,124,-2
-7,-47,-19,22,51,-45,-53,60
-64,20,17,-4,-37,-3,-13,-16
3,-22,-54,-31,-34,-98,-69,-23
49,40,54,52,54,127,109,64
-75,-28,6,5,-14,19,-112,-114
26,-7,26,-9,-18,-75,-120,-128
43,31,-2,27,-34,57,48,78
28,-3,3,10,9,32,-44,-36
-19,17,27,10,-42,-100,102,68
-12,-26,-2,1,4,1,-88,48
79,30,-3,-23,-4,-49,61,32
-71,-45,-39,-39,2,46,-102,-54
60,64,37,5,-61,-26,-56,75
58,-9,-9,17,9,84,72,-3
-46,-12,-4,2,-10,-107,-40,-126
-18,-12,-8,-11,-5,33,-81,52
16,17,-4,-10,-14,-41,50,107
19,13,2,-29,-52,-107,1,48
-17,-24,-8,20,69,70,-15,-77
-1,-2,5,19,-11,24,112,59
-9,8,3,4,51,118,9,-94
